Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
Syringe Pump,HOY273,Hoya Corporation,Rev. 3.5,2022-01-14,Class I,HDE833250,Adult (>65),Used for radiation therapy administration in pediatric hospital units under specialist supervision.,Avoid use in patients with stroke or severe severe cardiac arrhythmias.,,12,10,9.0,,18.0,Device Name: Syringe Pump. Model: HOY273. Manufacturer: Hoya Corporation. Indications: Used for radiation therapy administration in pediatric hospital units under specialist supervision.. Contraindications: Avoid use in patients with stroke or severe severe cardiac arrhythmias..
Surgical Robot,Model 8517,Johnson & Johnson,Rev. 3.6,2024-08-10,Class II,BLA813167,Pediatric,Indicated for diagnostic infection prevention to assess cancer in clinical environments.,Not suitable for use during transcutaneous stimulation or CT scan.,,14,13,9.0,13.42,12.0,Device Name: Surgical Robot. Model: Model 8517. Manufacturer: Johnson & Johnson. Indications: Indicated for diagnostic infection prevention to assess cancer in clinical environments.. Contraindications: Not suitable for use during transcutaneous stimulation or CT scan..
Nebulizer,A-5974,Becton Dickinson,Version 17,2021-09-29,Class I,HDE715920,Pediatric,Designed for perioperative hemoglobin levels management during neurological interventions.,Contraindicated in patients with severe pregnancy or uncontrolled epilepsy.,Single-Use Sterile,4,7,11.0,7.65,,Device Name: Nebulizer. Model: A-5974. Manufacturer: Becton Dickinson. Indications: Designed for perioperative hemoglobin levels management during neurological interventions.. Contraindications: Contraindicated in patients with severe pregnancy or uncontrolled epilepsy..
Pacemaker,Model 7084,Sonova,v8.7,2023-04-16,Class I,D789673,Neonatal,Intended for monitoring and measuring pH levels in ventilator-dependent patients in hospital and clinical settings.,None,Ethylene Oxide (EtO),2,6,9.0,0.04,39.0,Device Name: Pacemaker. Model: Model 7084. Manufacturer: Sonova. Indications: Intended for monitoring and measuring pH levels in ventilator-dependent patients in hospital and clinical settings.. Contraindications: None.
Nebulizer,Model 2099,Richard Wolf,Rev. 7.7,2023-12-13,Class I,PMA274717,Neonatal,Intended for hemodialysis delivery in palliative care settings for terminal patients.,"Not recommended during pregnancy, lactation, or in terminally ill under 21 years.",Dry Heat,2,5,11.0,2.53,34.0,"Device Name: Nebulizer. Model: Model 2099. Manufacturer: Richard Wolf. Indications: Intended for hemodialysis delivery in palliative care settings for terminal patients.. Contraindications: Not recommended during pregnancy, lactation, or in terminally ill under 21 years.."
Blood Glucose Monitor,C-7464,Stryker,Version 3,2019-05-11,Class III,NMPA-909159,Infant (0-2),Designed for surgical assistance in patients with sleep apnea under medical supervision.,Not recommended for patients with uncontrolled seizures or severe hepatic dysfunction.,Ethylene Oxide (EtO),12,9,7.0,0.23,29.0,Device Name: Blood Glucose Monitor. Model: C-7464. Manufacturer: Stryker. Indications: Designed for surgical assistance in patients with sleep apnea under medical supervision.. Contraindications: Not recommended for patients with uncontrolled seizures or severe hepatic dysfunction..
Insulin Pump,A-8819,IDEXX Laboratories,Version 9,2022-09-02,Class III,UKCA29028,Adult and Pediatric,Designed for infection control assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with severe osteoporosis or unable to follow instructions.,Not Applicable,15,20,10.0,,22.0,Device Name: Insulin Pump. Model: A-8819. Manufacturer: IDEXX Laboratories. Indications: Designed for infection control assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in patients with severe osteoporosis or unable to follow instructions..
Wound Care System,STR138,Stryker,v10.1,2021-07-24,Class III,,Adult and Pediatric,Designed for mechanical ventilation facilitation in telemedicine and remote patient monitoring.,Not recommended in presence of uncontrolled seizures or at infected areas locations.,Dry Heat,8,12,11.0,19.74,28.0,Device Name: Wound Care System. Model: STR138. Manufacturer: Stryker. Indications: Designed for mechanical ventilation facilitation in telemedicine and remote patient monitoring.. Contraindications: Not recommended in presence of uncontrolled seizures or at infected areas locations..
Patient Monitor,Model 9121,Richard Wolf,v4.7,2025-02-12,Class I,BLA829582,Infant (0-2),Intended for wound care evaluation in rehabilitation medicine for hypertension recovery.,Not suitable for use with chemotherapy drugs or in chemical exposure areas.,Autoclave,9,13,5.0,6.76,38.0,Device Name: Patient Monitor. Model: Model 9121. Manufacturer: Richard Wolf. Indications: Intended for wound care evaluation in rehabilitation medicine for hypertension recovery.. Contraindications: Not suitable for use with chemotherapy drugs or in chemical exposure areas..
Insulin Pump,C-5987,Align Technology,Version 1,2019-06-09,Class III,H621201,Infant (0-2),Designed for thermal therapy optimization in chronic disease management programs.,None,Ethylene Oxide (EtO),14,12,9.0,7.4,33.0,Device Name: Insulin Pump. Model: C-5987. Manufacturer: Align Technology. Indications: Designed for thermal therapy optimization in chronic disease management programs.. Contraindications: None.
Blood Glucose Monitor,Model 2694,Zimmer Biomet,v15.8,2017-12-29,Class IIb,P840906,Pediatric,Used for oxygen therapy administration in pediatric hospital units under specialist supervision.,Do not use in patients with autoimmune disorders or severe active infections.,Autoclave,13,9,4.0,0.41,27.0,Device Name: Blood Glucose Monitor. Model: Model 2694. Manufacturer: Zimmer Biomet. Indications: Used for oxygen therapy administration in pediatric hospital units under specialist supervision.. Contraindications: Do not use in patients with autoimmune disorders or severe active infections..
Digital Thermometer,BOS506,Boston Scientific,2022-10-M,2025-10-28,Class I,NMPA-768341,Adult (18-65),Used for emergency defibrillation in acute stroke situations requiring immediate care.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,3,6,4.0,0.48,15.0,Device Name: Digital Thermometer. Model: BOS506. Manufacturer: Boston Scientific. Indications: Used for emergency defibrillation in acute stroke situations requiring immediate care.. Contraindications: Do not use if battery depletion is detected or quality control has expired..
Dialysis Machine,Model 7546,Johnson & Johnson,Version 2,2023-09-02,Class I,HDE494912,Pediatric (2-18),Intended for infection prevention verification in quality assurance and device validation protocols.,Avoid use in patients with skin allergies or altered consciousness.,Ethylene Oxide (EtO),7,20,,103.01,41.0,Device Name: Dialysis Machine. Model: Model 7546. Manufacturer: Johnson & Johnson. Indications: Intended for infection prevention verification in quality assurance and device validation protocols.. Contraindications: Avoid use in patients with skin allergies or altered consciousness..
Orthopedic Implant,Model 6901,ResMed,2025-05-T,2025-08-18,Class IIb,CE4612,Geriatric,Designed for joint replacement facilitation in telemedicine and remote patient monitoring.,Contraindicated in patients with severe diabetes or severe immunodeficiency.,Ethylene Oxide (EtO),2,9,22.0,,42.0,Device Name: Orthopedic Implant. Model: Model 6901. Manufacturer: ResMed. Indications: Designed for joint replacement facilitation in telemedicine and remote patient monitoring.. Contraindications: Contraindicated in patients with severe diabetes or severe immunodeficiency..
Patient Monitor,A-3806,Mindray,2021-11-X,2015-01-01,Class III,IDE746425,Geriatric,Intended for infection control therapy in intensive care unit environments for critically ill patients.,Avoid use if patient has malignant hyperthermia or history of blood clots.,Single-Use Sterile,10,11,,7.56,15.0,Device Name: Patient Monitor. Model: A-3806. Manufacturer: Mindray. Indications: Intended for infection control therapy in intensive care unit environments for critically ill patients.. Contraindications: Avoid use if patient has malignant hyperthermia or history of blood clots..
Orthopedic Implant,A-1607,ResMed,v11.8,2020-02-04,Class I,CE9087,Geriatric,Indicated for routine assessment screening in outpatient clinical facilities.,Not recommended in presence of metal implants or at open wounds locations.,Chemical Sterilization,6,9,23.0,0.08,40.0,Device Name: Orthopedic Implant. Model: A-1607. Manufacturer: ResMed. Indications: Indicated for routine assessment screening in outpatient clinical facilities.. Contraindications: Not recommended in presence of metal implants or at open wounds locations..
Electrosurgical Unit,A-8066,Intuitive Surgical,2022-11-Y,2018-09-03,Class III,PMDA-174417,Geriatric,Used for post-operative oxygen therapy management in hospital recovery units.,Do not use if structural defects is present or incision is infected.,Autoclave,19,25,5.0,1.67,34.0,Device Name: Electrosurgical Unit. Model: A-8066. Manufacturer: Intuitive Surgical. Indications: Used for post-operative oxygen therapy management in hospital recovery units.. Contraindications: Do not use if structural defects is present or incision is infected..
Blood Glucose Monitor,STR947,Stryker,Rev. 3.2,2024-03-02,Class III,HDE464387,Neonatal,Designed for symptom relief in patients with cardiac disorders under medical supervision.,None,Single-Use Sterile,11,17,3.0,0.24,34.0,Device Name: Blood Glucose Monitor. Model: STR947. Manufacturer: Stryker. Indications: Designed for symptom relief in patients with cardiac disorders under medical supervision.. Contraindications: None.
Ultrasound Scanner,X-6586,Mölnlycke Health Care,v11.9,2015-06-15,Class IIb,P497428,Geriatric,Used for therapeutic oxygen therapy in sedated patients requiring intubation.,Contraindicated in patients with thrombocytopenia or on radioactive materials.,Not Applicable,8,12,14.0,18.82,38.0,Device Name: Ultrasound Scanner. Model: X-6586. Manufacturer: Mölnlycke Health Care. Indications: Used for therapeutic oxygen therapy in sedated patients requiring intubation.. Contraindications: Contraindicated in patients with thrombocytopenia or on radioactive materials..
Blood Glucose Monitor,A-9395,Steris,2025-12-M,2022-04-14,Class III,NDA885737,Infant (0-2),Used for therapeutic oxygen therapy in post-operative patients requiring hemodialysis.,None,Pre-Sterilized,9,11,5.0,0.39,23.0,Device Name: Blood Glucose Monitor. Model: A-9395. Manufacturer: Steris. Indications: Used for therapeutic oxygen therapy in post-operative patients requiring hemodialysis.. Contraindications: None.
Ultrasound Scanner,Max282,Danaher,2023-04-V,2023-06-28,Class IIb,NMPA-533511,Pediatric,Used for post-operative chemotherapy management in hospital recovery units.,"Not recommended during pregnancy, lactation, or in substance abuse under 17 years.",Chemical Sterilization,8,6,12.0,8.83,40.0,"Device Name: Ultrasound Scanner. Model: Max282. Manufacturer: Danaher. Indications: Used for post-operative chemotherapy management in hospital recovery units.. Contraindications: Not recommended during pregnancy, lactation, or in substance abuse under 17 years.."
Infusion Pump,Model 8086,Fresenius Medical Care,2025-04-A,2016-02-22,Class I,UKCA15245,Adult,Intended for catheterization delivery in palliative care settings for terminal patients.,Do not use in patients with pacemakers or severe hepatic dysfunction.,,8,12,8.0,7.8,34.0,Device Name: Infusion Pump. Model: Model 8086. Manufacturer: Fresenius Medical Care. Indications: Intended for catheterization delivery in palliative care settings for terminal patients.. Contraindications: Do not use in patients with pacemakers or severe hepatic dysfunction..
ECG Machine,A-3024,Sonova,Rev. 5.9,2017-11-30,Class II,PMA614806,All,Designed for joint replacement facilitation in telemedicine and remote patient monitoring.,Contraindicated in presence of bronchodilators or during radiofrequency ablation.,Single-Use Sterile,2,6,4.0,5.87,10.0,Device Name: ECG Machine. Model: A-3024. Manufacturer: Sonova. Indications: Designed for joint replacement facilitation in telemedicine and remote patient monitoring.. Contraindications: Contraindicated in presence of bronchodilators or during radiofrequency ablation..
